taskId, min_lat, min_lon, max_lat, max_lon
746,16.8245079588,94.7774954283,16.8295079588,94.7824954283
735,16.8345079588,94.7074954283,16.8395079588,94.7124954283
783,16.8345079588,94.7174954283,16.8395079588,94.7224954283
343,16.8045079588,94.7349954283,16.8070079588,94.7374954283
649,16.7695079588,94.6974954283,16.7745079588,94.7024954283
341,16.7995079588,94.7349954283,16.8020079588,94.7374954283
781,16.8195079588,94.7174954283,16.8245079588,94.7224954283
704,16.8245079588,94.7024954283,16.8295079588,94.7074954283
825,16.8245079588,94.7324954283,16.8295079588,94.7374954283
812,16.8195079588,94.7274954283,16.8245079588,94.7324954283
866,16.8245079588,94.7424954283,16.8295079588,94.7474954283
84,16.8170079588,94.7524954283,16.8195079588,94.7549954283
719,16.7545079588,94.7074954283,16.7595079588,94.7124954283
679,16.8145079588,94.7674954283,16.8195079588,94.7724954283
785,16.8445079588,94.7174954283,16.8495079588,94.7224954283
470,16.7645079588,94.7449954283,16.7670079588,94.7474954283
771,16.8295079588,94.7824954283,16.8345079588,94.7874954283
808,16.8295079588,94.7924954283,16.8345079588,94.7974954283
790,16.8145079588,94.7874954283,16.8195079588,94.7924954283
791,16.8195079588,94.7874954283,16.8245079588,94.7924954283
809,16.8045079588,94.7274954283,16.8095079588,94.7324954283
459,16.8145079588,94.7424954283,16.8170079588,94.7449954283
865,16.8095079588,94.7424954283,16.8145079588,94.7474954283
128,16.8220079588,94.7549954283,16.8245079588,94.7574954283
7,16.7545079588,94.7499954283,16.7570079588,94.7524954283
840,16.8995079588,94.7324954283,16.9045079588,94.7374954283
693,16.7845079588,94.7024954283,16.7895079588,94.7074954283
443,16.8070079588,94.7749954283,16.8095079588,94.7774954283
715,16.7445079588,94.7074954283,16.7495079588,94.7124954283
620,16.7895079588,94.6924954283,16.7945079588,94.6974954283
529,16.7495079588,94.7149954283,16.7520079588,94.7174954283
850,16.8595079588,94.7374954283,16.8645079588,94.7424954283
560,16.8645079588,94.7474954283,16.8695079588,94.7524954283
753,16.7995079588,94.7124954283,16.8045079588,94.7174954283
159,16.7520079588,94.7249954283,16.7545079588,94.7274954283
594,16.8845079588,94.7524954283,16.8895079588,94.7574954283
713,16.7395079588,94.7074954283,16.7445079588,94.7124954283
827,16.8345079588,94.7324954283,16.8395079588,94.7374954283
819,16.8745079588,94.7274954283,16.8795079588,94.7324954283
815,16.8345079588,94.7274954283,16.8395079588,94.7324954283
828,16.8395079588,94.7324954283,16.8445079588,94.7374954283
829,16.8445079588,94.7324954283,16.8495079588,94.7374954283
830,16.8495079588,94.7324954283,16.8545079588,94.7374954283
749,16.7795079588,94.7124954283,16.7845079588,94.7174954283
164,16.8020079588,94.7574954283,16.8045079588,94.7599954283
112,16.7970079588,94.7549954283,16.7995079588,94.7574954283
842,16.9095079588,94.7324954283,16.9145079588,94.7374954283
680,16.7495079588,94.7024954283,16.7545079588,94.7074954283
722,16.8295079588,94.7724954283,16.8345079588,94.7774954283
40,16.8145079588,94.7499954283,16.8170079588,94.7524954283
766,16.8045079588,94.7824954283,16.8095079588,94.7874954283
390,16.8220079588,94.7374954283,16.8245079588,94.7399954283
578,16.8295079588,94.7524954283,16.8345079588,94.7574954283
756,16.8145079588,94.7124954283,16.8195079588,94.7174954283
627,16.8095079588,94.6924954283,16.8145079588,94.6974954283
629,16.8145079588,94.6924954283,16.8195079588,94.6974954283
793,16.8295079588,94.7874954283,16.8345079588,94.7924954283
367,16.8070079588,94.7699954283,16.8095079588,94.7724954283
676,16.9245079588,94.7624954283,16.9295079588,94.7674954283
863,16.9245079588,94.7374954283,16.9295079588,94.7424954283
824,16.8995079588,94.7274954283,16.9045079588,94.7324954283
823,16.8945079588,94.7274954283,16.8995079588,94.7324954283
802,16.8345079588,94.7224954283,16.8395079588,94.7274954283
672,16.9045079588,94.7624954283,16.9095079588,94.7674954283
670,16.8295079588,94.6974954283,16.8345079588,94.7024954283
637,16.9245079588,94.7574954283,16.9295079588,94.7624954283
632,16.8945079588,94.7574954283,16.8995079588,94.7624954283
602,16.9245079588,94.7524954283,16.9295079588,94.7574954283
349,16.8195079588,94.7349954283,16.8220079588,94.7374954283
305,16.8195079588,94.7324954283,16.8220079588,94.7349954283
114,16.7995079588,94.7549954283,16.8020079588,94.7574954283
822,16.8895079588,94.7274954283,16.8945079588,94.7324954283
681,16.8195079588,94.7674954283,16.8245079588,94.7724954283
570,16.9145079588,94.7474954283,16.9195079588,94.7524954283
837,16.8845079588,94.7324954283,16.8895079588,94.7374954283
836,16.8795079588,94.7324954283,16.8845079588,94.7374954283
835,16.8745079588,94.7324954283,16.8795079588,94.7374954283
834,16.8695079588,94.7324954283,16.8745079588,94.7374954283
833,16.8645079588,94.7324954283,16.8695079588,94.7374954283
832,16.8595079588,94.7324954283,16.8645079588,94.7374954283
831,16.8545079588,94.7324954283,16.8595079588,94.7374954283
826,16.8295079588,94.7324954283,16.8345079588,94.7374954283
821,16.8845079588,94.7274954283,16.8895079588,94.7324954283
820,16.8795079588,94.7274954283,16.8845079588,94.7324954283
818,16.8645079588,94.7274954283,16.8695079588,94.7324954283
817,16.8595079588,94.7274954283,16.8645079588,94.7324954283
816,16.8545079588,94.7274954283,16.8595079588,94.7324954283
814,16.8295079588,94.7274954283,16.8345079588,94.7324954283
813,16.8245079588,94.7274954283,16.8295079588,94.7324954283
811,16.8145079588,94.7274954283,16.8195079588,94.7324954283
810,16.8095079588,94.7274954283,16.8145079588,94.7324954283
807,16.8245079588,94.7924954283,16.8295079588,94.7974954283
806,16.8195079588,94.7924954283,16.8245079588,94.7974954283
805,16.8145079588,94.7924954283,16.8195079588,94.7974954283
804,16.8445079588,94.7224954283,16.8495079588,94.7274954283
803,16.8395079588,94.7224954283,16.8445079588,94.7274954283
801,16.8295079588,94.7224954283,16.8345079588,94.7274954283
800,16.8245079588,94.7224954283,16.8295079588,94.7274954283
798,16.8145079588,94.7224954283,16.8195079588,94.7274954283
796,16.8045079588,94.7224954283,16.8095079588,94.7274954283
792,16.8245079588,94.7874954283,16.8295079588,94.7924954283
789,16.8095079588,94.7874954283,16.8145079588,94.7924954283
788,16.7395079588,94.7224954283,16.7445079588,94.7274954283
